#
# Full target list for orbit 23, sector 8
# Created Fri Mar  1 17:06:06 EST 2019 
# Concatenation of GI astero exo bright DDT ppas lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
 55745962	4	3	10.58	 74.7534	-61.7139
 55745991	4	3	11.45	 74.8694	-61.6394
 55746206	4	3	 8.09	 74.7280	-61.1078
 55746237	4	3	14.10	 74.8789	-61.0210
 55746575	4	3	11.75	 74.6727	-60.1706
 55754844	4	3	 9.85	 75.0771	-61.6758
 55755028	4	3	10.03	 75.0537	-62.1951
 55755059	4	3	 8.41	 75.0375	-62.2789
 55755223	4	3	10.94	 75.1251	-62.6377
 55755266	4	3	11.16	 74.9265	-62.7356
 55756813	4	3	10.79	 74.9489	-65.1382
 55758083	4	3	 9.88	 75.2589	-65.8433
 55758201	4	3	10.21	 75.3178	-65.7661
 55758485	4	3	 8.47	 75.3081	-65.5525
 55758788	4	3	11.40	 75.3447	-65.2662
 55758992	4	3	 9.83	 75.3134	-65.0740
 55760111	4	3	11.03	 75.3873	-63.4447
 55760329	4	3	 8.48	 75.3476	-63.0775
 55760351	4	3	 9.55	 75.1536	-63.0448
 55760886	4	3	 9.44	 75.3820	-61.7939
 55761028	4	3	 9.79	 75.3721	-61.3951
 55780604	4	3	10.10	 75.2269	-60.2750
 55780793	4	3	11.92	 75.3991	-60.0378
 55780996	4	3	 9.69	 75.4849	-60.5119
 55781680	4	3	 8.65	 75.4062	-62.0893
 55783426	4	3	 8.65	 75.5955	-64.9047
 55783547	4	3	10.09	 75.5714	-65.0213
 55783641	4	3	12.15	 75.4693	-65.1218
 55783863	4	3	10.83	 75.4739	-65.3399
 55784135	4	3	 9.81	 75.4845	-65.5781
 55784451	4	3	10.21	 75.4606	-65.8203
 55792361	2	1	 7.25	126.3238	-34.3671
 55847881	4	3	10.63	 75.7356	-63.8561
 55847962	4	3	11.97	 75.7387	-63.7408
 55848273	4	3	10.89	 75.8353	-63.2743
 55848818	4	3	10.93	 75.8311	-62.1982
 55848940	4	3	 9.12	 75.6640	-61.9111
 55849142	4	3	 8.24	 75.8263	-61.4153
 55849446	4	3	 9.27	 75.7339	-60.6785
 55849561	4	3	10.77	 75.8218	-60.4015
 55849733	4	3	11.10	 75.7810	-59.9665
 55849958	4	3	10.11	 75.9044	-60.3679
 55850152	4	3	10.90	 76.0653	-60.8683
 55850237	4	3	10.40	 76.0271	-61.0959
 55850719	4	3	 8.90	 76.0966	-62.2660
 55851061	4	3	10.26	 75.8865	-62.9546
 55852285	4	3	12.18	 76.0064	-64.6924
 55852584	4	3	 5.31	 75.9860	-65.0121
 55884974	2	1	 8.47	126.4867	-32.8824
 55888342	2	1	13.06	126.3883	-31.9084
 55984324	2	1	13.78	126.6254	-30.4858
 55985028	2	1	14.06	126.6299	-30.7026
 55985162	2	1	14.67	126.5018	-30.7504
 55986131	2	1	13.47	126.5747	-31.0741
 55987607	2	1	10.64	126.5680	-31.5253
 55993654	2	1	13.26	126.5343	-33.2283
 56153015	2	1	14.61	126.7289	-32.7201
 56156574	2	1	 8.68	126.7242	-31.6958
 56157260	2	1	 8.09	126.7236	-31.4789
 56253934	2	1	 8.11	126.8895	-30.6391
 56254943	2	1	13.96	126.8947	-30.9732
 56256360	2	1	12.13	126.9060	-31.4514
 56257053	2	1	 5.36	126.8182	-31.6727
 56324924	2	1	 5.47	126.8366	-34.6978
 56332484	2	1	 5.93	126.9976	-35.1137
 56405429	2	1	12.66	127.0282	-32.8729
 56405993	2	1	13.26	127.0124	-32.7129
 56409457	2	1	13.90	127.0331	-31.7043
 56412228	2	1	14.72	127.0460	-30.8492
 56412573	2	1	13.44	127.0413	-30.7428
 56412622	2	1	12.11	127.0472	-30.7282
 56413649	2	1	13.21	126.9262	-30.4105
 56414786	2	1	12.45	126.9186	-30.0470
 56521471	2	1	14.32	127.1254	-30.3867
 56524538	2	1	13.22	127.1678	-31.3442
 56524900	2	1	15.73	127.1056	-31.4591
 56545925	1	2	13.79	147.8425	-10.8406
 56546059	1	2	11.13	147.7825	-10.4674
 56546202	1	2	10.71	147.8499	-10.1105
 56546511	1	2	10.06	147.8021	 -9.1764
 56546695	1	2	 8.71	147.8431	 -8.5666
 56554719	1	2	10.61	147.8564	 -8.3901
 56555162	1	2	 8.22	147.7982	 -6.9792
 56556075	1	2	10.36	147.9809	 -7.7460
 56556444	1	2	 9.27	147.9445	 -8.9253
 56557252	1	2	 4.62	147.9219	-11.3407
 56557317	1	2	 9.59	147.9590	-11.5187
 56557388	1	2	10.15	147.9720	-11.7338
 56557727	1	2	13.12	148.0603	-11.2438
 56557971	1	2	 8.87	148.0646	-10.5607
 56558041	1	2	 9.89	148.1224	-10.3473
 56558989	1	2	 9.57	148.0973	 -7.4853
 56600820	1	2	 5.09	148.1266	 -8.1052
 56602122	1	2	10.34	148.1917	-10.1351
 56603668	1	2	10.26	148.3083	-11.5482
 56604258	1	2	 9.85	148.2917	-10.6769
 56606120	1	2	 8.86	148.3005	 -7.8818
 56606339	1	2	14.94	148.3080	 -7.5641
 56606588	1	2	11.71	148.3371	 -7.1755
 56606764	1	2	12.96	148.3649	 -6.9369
 56630835	2	1	 7.82	127.1792	-34.7316
 56704919	2	1	 8.31	127.2555	-33.4609
 56706160	2	1	15.04	127.2107	-33.0777
 56706489	2	1	14.54	127.1943	-32.9854
 56709670	2	1	13.78	127.3225	-32.0465
 56714474	2	1	14.85	127.2083	-30.4941
 56716077	2	1	 7.62	127.2181	-29.9512
 56718067	2	1	 5.01	127.4503	-30.5559
 56718362	2	1	14.24	127.3619	-30.6580
 56786058	2	1	14.24	127.3557	-32.1014
 56786418	2	1	14.45	127.4013	-32.2137
 56794980	2	1	 8.03	127.3601	-34.6993
 56898970	2	1	 8.19	127.3588	-35.4737
 56976008	2	1	 8.14	127.5804	-31.9523
 56976058	2	1	14.11	127.4917	-31.9357
 56977419	2	1	14.52	127.5804	-31.4852
 56980355	2	1	 9.07	127.5984	-30.5123
 56983524	2	1	15.02	127.6838	-30.5494
 56984172	2	1	14.86	127.6250	-30.8333
 56986538	2	1	15.25	127.6807	-31.8206
 57035113	2	1	 4.30	127.6191	-32.1593
 57036422	2	1	 8.36	127.7016	-32.6903
 57036760	2	1	15.34	127.6849	-32.8313
 57039365	2	1	 6.83	127.7110	-33.6448
 57046333	2	1	 8.62	127.6730	-34.9125
 59532902	3	3	 9.74	109.1024	-47.9085
 59533878	3	3	 4.51	109.0645	-46.7744
 59534248	3	3	 8.23	109.1714	-46.3548
 59605342	3	3	 8.02	109.3349	-46.3665
 59605392	3	3	13.62	109.2392	-46.4130
 59605637	3	3	 6.88	109.2903	-46.6950
 59605887	3	3	 5.93	109.3729	-46.9762
 59606497	3	3	 9.21	109.2624	-47.7168
 59607432	3	3	 9.79	109.3936	-47.0856
 59649100	3	3	 5.98	109.5176	-43.9868
 59651315	3	2	15.07	109.4385	-41.9031
 59652418	3	2	10.53	109.5463	-42.9036
 59656000	3	3	13.65	109.5495	-46.3752
 59656420	3	3	 7.93	109.6501	-46.8197
 59727447	3	3	 8.81	109.7576	-47.0551
 59728221	3	3	 5.66	109.8287	-46.2353
 59730069	3	3	 9.68	109.7127	-44.4251
 59734236	3	2	 9.60	110.0177	-43.0176
 59736357	3	3	 8.03	110.0001	-44.8402
 59759057	3	3	 9.15	110.0917	-47.4230
 59759193	3	3	 8.23	110.1191	-47.2807
 59759791	3	3	10.98	110.1482	-46.7084
 59764377	3	2	 8.02	110.0901	-42.7137
 59850269	3	2	 7.86	110.3361	-41.9903
 59895155	3	2	 9.70	110.3731	-42.8311
 59897771	3	2	10.11	110.5603	-42.9746
 59898244	3	2	 8.73	110.5336	-43.3316
 59975152	3	2	 9.43	110.8398	-43.3463
 60023072	3	2	10.41	110.8686	-42.7969
 60024301	3	2	10.31	110.9917	-43.3387
 60024614	3	2	 9.92	110.9524	-43.6065
 60074959	3	2	13.42	111.0321	-43.5651
 60075452	3	2	 9.31	111.0907	-43.2020
 60076135	3	2	 9.39	111.0757	-42.7059
 60076957	3	2	15.10	111.0910	-42.0987
 60079270	3	2	 7.72	111.2694	-43.3873
 60081537	3	3	 8.39	111.2074	-45.1577
 60134625	3	3	11.50	111.2128	-46.9724
 60140517	3	2	15.18	111.4909	-43.9166
 60142324	3	2	11.03	111.3967	-42.6483
 60142790	3	2	 9.79	111.4088	-42.3506
 60143497	3	2	 8.21	111.6162	-42.0047
 60248685	3	2	 9.92	111.8037	-42.0771
 60249694	3	2	 8.47	111.9824	-42.4257
 60252084	3	2	10.47	111.9277	-43.9750
 60319965	3	3	 8.30	111.8962	-47.0959
 60325751	3	2	 9.76	112.0597	-44.1696
 60373288	3	2	10.34	112.0145	-42.7155
 60376548	3	2	 8.02	112.2325	-43.1634
 60376707	3	2	 2.36	112.3072	-43.3005
 60377046	3	2	13.40	112.2383	-43.5536
 60377863	3	2	 9.39	112.2293	-44.1397
 60380693	3	3	 8.13	112.2285	-46.1664
 60419479	3	2	10.42	112.4410	-44.2407
 60419777	3	2	 8.23	112.3699	-44.0559
 60420176	3	2	10.48	112.4064	-43.8051
 60421412	3	2	13.80	112.3505	-42.9698
 60422570	3	2	14.90	112.4336	-42.2599
 60552847	3	2	 8.52	112.7907	-44.5141
 60552999	3	2	 8.63	112.6626	-44.3976
 60553461	3	2	 9.74	112.6784	-44.1096
 60554396	3	2	10.80	112.7471	-43.5442
 60554551	3	2	10.43	112.6984	-43.4508
 60557623	3	2	 8.09	112.9313	-42.2559
 60558874	3	2	 8.30	112.8672	-43.0250
 60560613	3	2	 8.78	112.8884	-44.0815
 60586537	1	1	 5.41	137.5825	-11.6167
 60588002	1	1	 8.59	137.5565	 -8.6296
 60588644	1	1	 9.44	137.6223	 -7.2066
 60613699	1	1	 9.27	137.6800	 -6.4981
 60614088	1	1	11.86	137.6920	 -7.4875
 60617727	1	1	 9.98	137.8787	 -8.9064
 60618112	1	1	 9.54	137.8842	 -8.0477
 60618116	1	1	10.40	137.8254	 -8.0409
 60619527	1	1	 5.45	137.9638	 -6.9796
 60654610	1	1	 8.66	138.1275	-11.5628
 60655023	1	1	 7.70	138.0776	-11.0789
 60655994	1	1	 9.18	138.1266	-10.0238
 60656203	1	1	 9.60	138.0342	 -9.7865
 60656536	1	1	10.35	138.0753	 -9.4083
 60656716	1	1	 8.13	138.0534	 -9.2039
 60657338	1	1	10.65	138.0380	 -8.3478
 60657965	1	1	11.39	138.1339	 -7.6149
 60658301	1	1	11.08	138.1153	 -7.1718
 60658382	1	1	 5.89	138.1084	 -7.1097
 60660061	1	1	15.44	138.2470	 -7.0092
 60660469	1	1	 8.29	138.2597	 -7.5548
 60682176	1	1	 8.69	138.1829	 -8.9326
 60683473	1	1	 8.21	138.1441	-11.4946
 60683658	1	1	11.78	138.1648	-11.8679
 60684455	1	1	 9.34	138.3205	-10.3909
 60684528	1	1	 9.74	138.3705	-10.2606
 60685415	1	1	 8.17	138.3140	 -8.3027
 60685707	1	1	14.15	138.2731	 -7.7106
 60686855	1	1	10.71	138.4448	 -6.7335
 60726811	1	1	10.74	138.4374	-10.5368
 60727135	1	1	14.17	138.4177	-11.1844
 60727886	1	1	13.14	138.5758	-11.2287
 60729268	1	1	 9.77	138.5765	 -8.2929
 60729466	1	1	16.02	138.5927	 -7.8566
 60730020	1	1	12.12	138.5213	 -6.5200
 60730507	1	1	 8.09	138.6615	 -6.4149
 60730655	1	1	 9.23	138.6572	 -6.7941
 60730714	1	1	 9.99	138.6457	 -6.9213
 60731228	1	1	 9.99	138.6849	 -8.0976
 60732174	1	1	 9.95	138.6746	-10.0615
 60759046	1	1	10.20	138.6851	-11.6844
 60760020	1	1	 9.78	138.7899	-10.1269
 60760121	1	1	10.40	138.7987	 -9.9249
 60760524	1	1	 7.64	138.8332	 -9.0614
 60761022	1	1	 8.52	138.8656	 -7.8437
 60762100	1	1	12.22	138.8730	 -6.4652
 60763156	1	1	 7.71	138.8881	 -8.7427
 60763290	1	1	10.63	138.8843	 -9.0494
 60763654	1	1	13.90	138.8864	 -9.7678
 60763824	1	1	 9.59	138.9575	-10.0809
 60763864	1	1	10.24	138.9367	-10.1665
 60764070	1	1	10.36	138.8996	-10.5973
 60764233	1	1	10.97	138.8742	-10.9782
 60784653	1	1	 9.69	139.0040	-10.2353
 60785171	1	1	12.64	139.1002	 -9.1984
 60785220	1	1	 8.17	139.0681	 -9.0784
 60785525	1	1	 7.50	139.0181	 -8.3505
 60785770	1	1	 9.34	139.0077	 -7.8138
 60786429	1	1	 9.41	139.0894	 -6.1953
 60786510	1	1	 9.21	139.0972	 -6.0083
 60786719	1	1	 4.30	139.1741	 -6.3531
 60787337	1	1	12.80	139.1547	 -7.7246
 60787465	1	1	10.29	139.1323	 -8.0093
 60787782	1	1	 5.54	139.1723	 -8.7447
 60788736	1	1	10.56	139.1596	-10.6772
 60788872	1	1	 8.30	139.1739	-10.9391
 60788949	1	1	 5.59	139.2377	-11.1035
 60789198	1	1	10.18	139.1784	-11.6121
 60848928	1	1	12.47	139.3347	 -8.8479
 60850006	1	1	10.12	139.3362	 -6.3108
 60850284	1	1	 8.84	139.4644	 -6.1998
 60851077	1	1	10.39	139.3673	 -8.0342
 60862586	1	1	 8.45	139.5844	 -9.7100
 60862686	1	1	10.27	139.5690	 -9.5085
 60862709	1	1	 9.13	139.5586	 -9.4708
 60863367	1	1	 9.07	139.5664	 -8.0957
 60864776	1	1	 8.59	139.6266	 -7.2087
 60865445	1	1	12.71	139.7242	 -8.7851
 60867990	1	1	 9.03	139.8335	 -9.5445
 60868350	1	1	13.17	139.7317	 -8.7825
 60900396	1	1	 7.84	139.8437	 -8.3536
 60901191	1	1	 8.19	139.7799	 -6.5076
 60902372	1	1	 9.69	139.9643	 -6.9592
 60903065	1	1	 8.92	139.8972	 -7.9021
 60904139	1	1	11.15	139.9425	 -9.2318
 60909442	1	1	 8.53	140.0689	 -8.3758
 60952588	1	1	13.06	139.9882	 -6.4268
 60952629	1	1	10.81	140.0285	 -6.3400
 60953597	1	1	 6.92	140.1841	 -7.7302
 60954103	1	1	 8.05	140.1371	 -8.8873
 60955522	1	2	12.39	140.3341	-11.7634
 60955589	1	2	14.20	140.2680	-11.6489
 60955613	1	2	 7.88	140.2295	-11.6016
 60979542	1	1	 9.15	140.2564	 -5.9754
 60979860	1	1	 8.01	140.3447	 -6.6719
 60981787	1	2	 9.20	140.3949	-11.2335
 60983926	1	1	 8.14	140.4969	 -7.9733
 60984804	1	1	 7.10	140.5958	 -6.0607
 61001058	1	1	10.95	140.6582	 -7.0609
 61002403	1	2	12.79	140.6870	-10.0828
 61002493	1	2	 9.70	140.6718	-10.2357
 61003803	1	2	 9.59	140.7579	-10.8407
 61004178	1	2	 8.50	140.7886	-10.0540
 61005936	1	1	10.86	140.8864	 -5.9047
 61038403	1	2	 9.81	140.9181	-11.4316
 61038429	1	2	 9.13	140.8410	-11.4993
 61038701	1	2	 8.04	140.9781	-11.7957
 61038751	1	2	13.14	141.0273	-11.6798
 61039046	1	2	 8.28	141.0031	-11.0887
 61039619	1	2	 9.81	141.0574	 -9.8074
 61069212	1	2	 8.96	141.1033	 -9.4126
 61069226	1	2	 9.28	141.0878	 -9.4438
 61070368	1	2	10.36	141.1590	-11.8114
 62402560	1	4	 7.16	131.9046	  0.0174
 62403610	1	1	10.42	131.9200	 -2.1022
 62455702	1	1	10.37	131.9453	 -3.6502
 62455903	1	1	 8.23	131.9464	 -4.0341
 62457230	1	1	 8.68	131.9610	 -5.4343
 62457634	1	1	 9.28	131.9952	 -4.7521
 62458454	1	1	 8.54	132.0186	 -3.1843
 62460571	1	1	 5.23	132.1558	 -1.0449
 62460684	1	1	10.00	132.0929	 -1.2991
 62461919	1	1	 9.97	132.1754	 -3.6791
 62475603	1	1	 9.85	132.1777	 -5.5840
 62475656	1	1	 9.62	132.0865	 -5.6792
 62477301	1	1	 8.03	132.2805	 -3.1195
 62477415	1	1	 8.72	132.2768	 -2.8969
 62480201	1	1	11.93	132.3219	 -2.7043
 62480591	1	1	 5.42	132.3404	 -3.4432
 62480855	1	1	10.67	132.3159	 -3.9673
 62481503	1	1	 9.35	132.4249	 -5.1945
 62530012	1	1	 8.12	132.4646	 -4.7312
 62530058	1	1	 9.81	132.4748	 -4.6179
 62530188	1	1	10.69	132.5483	 -4.3878
 62530621	1	1	10.56	132.4388	 -3.6118
 62530768	1	1	 9.56	132.5009	 -3.3615
 62530804	1	1	 9.82	132.5349	 -3.3073
 62530991	1	1	 9.82	132.5417	 -2.9797
 62531056	1	1	 9.61	132.4611	 -2.8449
 62531656	1	1	 8.26	132.4715	 -1.6865
 62532649	1	4	11.83	132.5750	 -0.2421
 62534207	1	1	11.34	132.6089	 -3.4685
 62534431	1	1	 8.78	132.6424	 -3.9048
 62534844	1	1	 6.78	132.6510	 -4.6994
 62535325	1	1	 8.43	132.5865	 -5.5387
 62569051	1	1	10.67	133.6327	 -5.8574
 62569281	1	1	 5.45	133.5726	 -5.4343
 62569341	1	1	 8.87	133.6307	 -5.2949
 62569664	1	1	10.44	133.5411	 -4.6455
 62569703	1	1	 8.95	133.5659	 -4.5672
 62570553	1	1	 8.73	133.5641	 -2.7857
 62570713	1	1	 8.61	133.5457	 -2.4769
 62570804	1	1	10.43	133.6270	 -2.2911
 62572014	1	4	 9.84	133.6590	 -0.1583
 62572269	1	4	 8.35	133.6796	 -0.7109
 62573430	1	1	10.47	133.7224	 -3.1716
 62573638	1	1	 6.83	133.7433	 -3.5555
 62574704	1	1	10.29	133.7529	 -5.6442
 62574796	1	1	10.43	133.7308	 -5.8005
 62575850	1	1	 8.12	133.8763	 -4.0694
 62577001	1	1	 8.00	133.7773	 -1.7434
 62577724	1	4	 8.73	133.8087	 -0.2868
 62577931	1	4	10.25	136.4662	 -0.0015
 62578036	1	4	10.00	136.4761	 -0.2529
 62578260	1	4	10.05	136.4290	 -0.8254
 62579214	1	1	 8.85	136.5168	 -3.1326
 62580307	1	1	10.36	136.5122	 -5.6055
 62627023	1	1	 9.45	136.5717	 -3.6407
 62627455	1	1	 6.73	136.6244	 -2.5994
 62627770	1	4	 9.34	136.6292	 -1.7639
 62628148	1	4	12.11	136.5508	 -0.8025
 62628632	1	4	 9.15	136.7021	 -0.3126
 62630658	1	1	 8.12	136.7563	 -5.0832
 62630926	1	1	10.30	136.7203	 -5.6468
 62630956	1	1	 8.80	136.7042	 -5.6964
 62645857	1	4	 9.92	142.5344	 -0.9653
 62645922	1	4	10.48	142.5206	 -0.7925
 62646000	1	4	 9.22	142.4903	 -0.5716
 62646531	1	4	12.81	142.6470	 -0.8740
 62648042	1	2	10.38	142.6103	 -4.7198
 62649610	1	2	 9.38	142.6852	 -4.9595
 62683828	1	4	 8.69	142.8617	 -1.0905
 62685314	1	2	 8.53	142.8699	 -5.3694
 62685840	1	2	 7.57	142.9655	 -5.0801
 62687974	1	3	12.23	144.8422	 -0.8669
 62727610	1	3	10.70	144.8353	 -3.2569
 62727635	1	3	 8.01	144.8148	 -3.3566
 62728478	1	2	 8.23	144.7999	 -5.7211
 62729160	1	3	 8.05	144.9083	 -4.2677
 62729489	1	3	13.00	144.8754	 -3.3270
 62730206	1	3	 2.74	144.9642	 -1.1432
 62730728	1	3	 9.76	145.0597	 -0.2011
 62731289	1	3	12.05	144.9728	 -1.7267
 62731568	1	3	 9.25	145.0598	 -2.5315
 62732682	1	2	 8.83	144.9711	 -5.8222
 62732698	1	2	10.09	145.0639	 -5.8605
 62733182	1	3	12.19	145.1680	 -4.5774
 62733292	1	3	10.85	145.1662	 -4.2854
 62733736	1	3	15.97	145.1869	 -3.0963
 62734192	1	3	 6.99	145.1322	 -1.7302
 62734300	1	3	 8.07	145.1014	 -1.3869
 62734470	1	3	12.53	145.1916	 -0.8460
 62734648	1	3	 8.18	145.1522	 -0.2984
 62734660	1	3	 9.77	145.0923	 -0.2505
 62734894	1	3	10.48	145.3263	 -0.3349
 62735726	1	3	11.95	145.2131	 -2.9844
 62736147	1	3	 9.54	145.2168	 -4.1799
 62758963	1	3	 9.83	145.3777	 -1.8182
 62759532	1	3	11.38	145.4414	 -0.1525
 62759650	1	3	 8.63	149.0161	 -0.0443
